Skill group,Skill component,Stage,Task,Domain
CONCEPTUAL SKILLS,Systems thinking,Development,Delivery design,Innovation
EVALUATIVE SKILLS,Decision making,Development,Delivery design,Innovation
ORGANISATIONAL SKILLS,Forecasting,Development,Delivery design,Innovation
ORGANISATIONAL SKILLS,Modelling,Development,Delivery design,Innovation
ORGANISATIONAL SKILLS,Organising,Development,Delivery design,Innovation
ORGANISATIONAL SKILLS,Prioritisation,Development,Delivery design,Innovation
ORGANISATIONAL SKILLS,Collaboration,Development,Delivery design,Innovation
RELATIONAL SKILLS,Active listening,Development,Delivery design,Innovation
RELATIONAL SKILLS,Communication,Development,Delivery design,Innovation
RELATIONAL SKILLS,Delegation,Development,Delivery design,Innovation
RELATIONAL SKILLS,Influencing,Development,Delivery design,Innovation
CONCEPTUAL SKILLS,Abstract thinking,Identification,Idea Generation,Innovation
CONCEPTUAL SKILLS,Creativity,Identification,Idea Generation,Innovation
CONCEPTUAL SKILLS,Mental agility,Identification,Idea Generation,Innovation
CONCEPTUAL SKILLS,Synthesis,Identification,Idea Generation,Innovation
CONCEPTUAL SKILLS,Systems thinking,Identification,Idea Generation,Innovation
RELATIONAL SKILLS,Feedback,Identification,Idea Generation,Innovation
CONCEPTUAL SKILLS,Abstract thinking,Development,Organisational Development,Innovation
CONCEPTUAL SKILLS,Mental agility,Development,Organisational Development,Innovation
CONCEPTUAL SKILLS,Strategic thinking,Development,Organisational Development,Innovation
CONCEPTUAL SKILLS,Synthesis,Development,Organisational Development,Innovation
CONCEPTUAL SKILLS,Systems thinking,Development,Organisational Development,Innovation
CRITICAL SELF-REFLECTION SKILLS,Empathy,Development,Organisational Development,Innovation
CRITICAL SELF-REFLECTION SKILLS,External self-awareness,Development,Organisational Development,Innovation
CRITICAL SELF-REFLECTION SKILLS,Internal self-awareness,Development,Organisational Development,Innovation
CRITICAL SELF-REFLECTION SKILLS,Self-regulation,Development,Organisational Development,Innovation
EVALUATIVE SKILLS,Comparative reasoning,Development,Organisational Development,Innovation
EVALUATIVE SKILLS,Decision making,Development,Organisational Development,Innovation
EVALUATIVE SKILLS,Evidence gathering,Development,Organisational Development,Innovation
EVALUATIVE SKILLS,Problem solving,Development,Organisational Development,Innovation
ORGANISATIONAL SKILLS,Forecasting,Development,Organisational Development,Innovation
ORGANISATIONAL SKILLS,Knowledge brokering,Development,Organisational Development,Innovation
ORGANISATIONAL SKILLS,Modelling,Development,Organisational Development,Innovation
ORGANISATIONAL SKILLS,Organising,Development,Organisational Development,Innovation
ORGANISATIONAL SKILLS,Prioritisation,Development,Organisational Development,Innovation
RELATIONAL SKILLS,Active listening,Development,Organisational Development,Innovation
RELATIONAL SKILLS,Collaboration,Development,Organisational Development,Innovation
RELATIONAL SKILLS,Communication,Development,Organisational Development,Innovation
RELATIONAL SKILLS,Delegation,Development,Organisational Development,Innovation
RELATIONAL SKILLS,Influencing,Development,Organisational Development,Innovation
RELATIONAL SKILLS,Negotiation,Development,Organisational Development,Innovation
CONCEPTUAL SKILLS,Ability to learn,Identification,Product /Service/ Process Design,Innovation
CONCEPTUAL SKILLS,Abstract thinking,Identification,Product /Service/ Process Design,Innovation
CONCEPTUAL SKILLS,Creativity,Identification,Product /Service/ Process Design,Innovation
CONCEPTUAL SKILLS,Mental agility,Identification,Product /Service/ Process Design,Innovation
CONCEPTUAL SKILLS,Strategic thinking,Identification,Product /Service/ Process Design,Innovation
CONCEPTUAL SKILLS,Synthesis,Identification,Product /Service/ Process Design,Innovation
CONCEPTUAL SKILLS,Systems thinking,Identification,Product /Service/ Process Design,Innovation
CRITICAL SELF-REFLECTION SKILLS,External self-awareness,Identification,Product /Service/ Process Design,Innovation
CRITICAL SELF-REFLECTION SKILLS,Internal self-awareness,Identification,Product /Service/ Process Design,Innovation
CRITICAL SELF-REFLECTION SKILLS,Self-regulation,Identification,Product /Service/ Process Design,Innovation
EVALUATIVE SKILLS,Comparative reasoning,Identification,Product /Service/ Process Design,Innovation
EVALUATIVE SKILLS,Critical analysis,Identification,Product /Service/ Process Design,Innovation
EVALUATIVE SKILLS,Decision making,Identification,Product /Service/ Process Design,Innovation
